Trader,Symbol,Counterparty,PnL
Valentina,STARFRUIT,Amelia,14907.0
Valentina,STARFRUIT,Valentina,0
Valentina,STARFRUIT,Remy,21044.0
Valentina,STARFRUIT,Rhianna,8790.0
Valentina,STARFRUIT,Vinnie,20959.0
Valentina,STARFRUIT,Ruby,20902.0
Valentina,STARFRUIT,Adam,3945.0
Valentina,AMETHYSTS,Remy,7230.0
Valentina,AMETHYSTS,Valentina,0
Valentina,AMETHYSTS,Amelia,9866.0
Valentina,AMETHYSTS,Ruby,9554.0
Valentina,AMETHYSTS,Rhianna,4396.0
Valentina,AMETHYSTS,Adam,892.0
Valentina,COCONUT_COUPON,Valentina,0
Valentina,COCONUT_COUPON,Vinnie,-1310612.0
Valentina,COCONUT_COUPON,Ruby,-6396.0
Valentina,COCONUT_COUPON,Rhianna,-213539.0
Valentina,COCONUT_COUPON,Vladimir,546.0
Vinnie,STARFRUIT,Vinnie,0
Vinnie,STARFRUIT,Remy,8302.0
Vinnie,STARFRUIT,Valentina,-13999.0
Vinnie,STARFRUIT,Amelia,163.0
Vinnie,STARFRUIT,Adam,1668.0
Vinnie,STARFRUIT,Ruby,593.0
Vinnie,STARFRUIT,Rhianna,797.0
Vinnie,AMETHYSTS,Remy,4976.0
Vinnie,AMETHYSTS,Vinnie,0
Vinnie,AMETHYSTS,Amelia,1536.0
Vinnie,AMETHYSTS,Ruby,2880.0
Vinnie,AMETHYSTS,Rhianna,310.0
Vinnie,AMETHYSTS,Adam,124.0
Vinnie,GIFT_BASKET,Ruby,-7815.0
Vinnie,GIFT_BASKET,Vinnie,0
Vinnie,GIFT_BASKET,Rhianna,-127650.0
Vinnie,GIFT_BASKET,Vladimir,26686.0
Vinnie,ROSES,Remy,21812.0
Vinnie,ROSES,Vinnie,0
Vinnie,ROSES,Rhianna,0
Vinnie,ROSES,Vladimir,-191253.0
Vinnie,CHOCOLATE,Remy,-78628.0
Vinnie,CHOCOLATE,Vinnie,0
Vinnie,CHOCOLATE,Vladimir,-653881.0
Vinnie,STRAWBERRIES,Vinnie,0
Vinnie,STRAWBERRIES,Remy,13451.0
Vinnie,STRAWBERRIES,Vladimir,-360735.0
Vinnie,COCONUT_COUPON,Valentina,1332622.0
Vinnie,COCONUT_COUPON,Vinnie,0
Vinnie,COCONUT_COUPON,Vladimir,24393.0
Vinnie,COCONUT_COUPON,Ruby,-804.0
Vinnie,COCONUT_COUPON,Rhianna,-692.0
Vinnie,COCONUT,Vinnie,0
Vinnie,COCONUT,Raj,-6876.0
Vinnie,COCONUT,Rhianna,-6746.0
Vladimir,STARFRUIT,Ruby,-838.0
Vladimir,STARFRUIT,Vladimir,0
Vladimir,STARFRUIT,Remy,2737.0
Vladimir,STARFRUIT,Adam,3334.0
Vladimir,STARFRUIT,Amelia,1015.0
Vladimir,STARFRUIT,Rhianna,-1406.0
Vladimir,AMETHYSTS,Remy,2030.0
Vladimir,AMETHYSTS,Vladimir,0
Vladimir,AMETHYSTS,Rhianna,1808.0
Vladimir,AMETHYSTS,Ruby,1126.0
Vladimir,AMETHYSTS,Adam,1296.0
Vladimir,AMETHYSTS,Amelia,680.0
Vladimir,GIFT_BASKET,Ruby,-50268.0
Vladimir,GIFT_BASKET,Vladimir,0
Vladimir,GIFT_BASKET,Rhianna,-759983.0
Vladimir,GIFT_BASKET,Vinnie,-26406.0
Vladimir,ROSES,Vinnie,193394.0
Vladimir,ROSES,Vladimir,0
Vladimir,ROSES,Remy,1769.0
Vladimir,CHOCOLATE,Vinnie,662025.0
Vladimir,CHOCOLATE,Vladimir,0
Vladimir,CHOCOLATE,Remy,3250.0
Vladimir,STRAWBERRIES,Vinnie,369525.0
Vladimir,STRAWBERRIES,Vladimir,0
Vladimir,STRAWBERRIES,Remy,-768.0
Vladimir,COCONUT_COUPON,Vladimir,0
Vladimir,COCONUT_COUPON,Vinnie,-23979.0
Vladimir,COCONUT_COUPON,Ruby,-15725.0
Vladimir,COCONUT_COUPON,Valentina,-509.0
Vladimir,COCONUT_COUPON,Rhianna,-4911.0
Ruby,STARFRUIT,Ruby,0
Ruby,STARFRUIT,Vladimir,1306.0
Ruby,STARFRUIT,Valentina,-19384.0
Ruby,STARFRUIT,Amelia,-116.0
Ruby,STARFRUIT,Remy,-2.0
Ruby,STARFRUIT,Vinnie,-563.0
Ruby,STARFRUIT,Rhianna,313.0
Ruby,STARFRUIT,Adam,139.0
Ruby,AMETHYSTS,Vinnie,-2304.0
Ruby,AMETHYSTS,Ruby,0
Ruby,AMETHYSTS,Valentina,-8082.0
Ruby,AMETHYSTS,Vladimir,-766.0
Ruby,AMETHYSTS,Remy,-8.0
Ruby,AMETHYSTS,Rhianna,218.0
Ruby,AMETHYSTS,Adam,154.0
Ruby,AMETHYSTS,Amelia,120.0
Ruby,GIFT_BASKET,Ruby,0
Ruby,GIFT_BASKET,Vinnie,8245.0
Ruby,GIFT_BASKET,Vladimir,50678.0
Ruby,GIFT_BASKET,Rhianna,1965.0
Ruby,COCONUT_COUPON,Valentina,6520.0
Ruby,COCONUT_COUPON,Ruby,0
Ruby,COCONUT_COUPON,Vladimir,15969.0
Ruby,COCONUT_COUPON,Vinnie,826.0
Ruby,COCONUT_COUPON,Rhianna,1190.0
Remy,STARFRUIT,Remy,0
Remy,STARFRUIT,Valentina,-19814.0
Remy,STARFRUIT,Vladimir,-2731.0
Remy,STARFRUIT,Vinnie,-6532.0
Remy,STARFRUIT,Rhianna,111.0
Remy,STARFRUIT,Adam,-503.0
Remy,STARFRUIT,Ruby,80.0
Remy,STARFRUIT,Amelia,-6.0
Remy,AMETHYSTS,Remy,0
Remy,AMETHYSTS,Vinnie,-4952.0
Remy,AMETHYSTS,Vladimir,-1750.0
Remy,AMETHYSTS,Valentina,-6966.0
Remy,AMETHYSTS,Amelia,-6.0
Remy,AMETHYSTS,Rhianna,434.0
Remy,AMETHYSTS,Ruby,16.0
Remy,AMETHYSTS,Adam,2.0
Remy,ROSES,Remy,0
Remy,ROSES,Vinnie,-21667.0
Remy,ROSES,Vladimir,-1766.0
Remy,CHOCOLATE,Remy,0
Remy,CHOCOLATE,Vinnie,80158.0
Remy,CHOCOLATE,Vladimir,-3214.0
Remy,STRAWBERRIES,Vinnie,-13440.0
Remy,STRAWBERRIES,Remy,0
Remy,STRAWBERRIES,Vladimir,795.0
Rhianna,STARFRUIT,Valentina,-8100.0
Rhianna,STARFRUIT,Rhianna,0
Rhianna,STARFRUIT,Remy,-51.0
Rhianna,STARFRUIT,Amelia,-110.0
Rhianna,STARFRUIT,Vladimir,1484.0
Rhianna,STARFRUIT,Vinnie,-623.0
Rhianna,STARFRUIT,Ruby,-157.0
Rhianna,STARFRUIT,Adam,-402.0
Rhianna,AMETHYSTS,Rhianna,0
Rhianna,AMETHYSTS,Vladimir,-1568.0
Rhianna,AMETHYSTS,Valentina,-4188.0
Rhianna,AMETHYSTS,Remy,-298.0
Rhianna,AMETHYSTS,Ruby,-82.0
Rhianna,AMETHYSTS,Vinnie,-238.0
Rhianna,AMETHYSTS,Adam,-74.0
Rhianna,AMETHYSTS,Amelia,2.0
Rhianna,GIFT_BASKET,Rhianna,0
Rhianna,GIFT_BASKET,Vinnie,128950.0
Rhianna,GIFT_BASKET,Vladimir,766373.0
Rhianna,GIFT_BASKET,Ruby,-1935.0
Rhianna,ROSES,Vinnie,0
Rhianna,ROSES,Rhianna,0
Rhianna,COCONUT_COUPON,Valentina,217168.0
Rhianna,COCONUT_COUPON,Rhianna,0
Rhianna,COCONUT_COUPON,Vladimir,4969.0
Rhianna,COCONUT_COUPON,Vinnie,693.0
Rhianna,COCONUT_COUPON,Ruby,-1176.0
Rhianna,COCONUT,Rhianna,0
Rhianna,COCONUT,Vinnie,6778.0
Raj,COCONUT,Raj,0
Raj,COCONUT,Vinnie,6987.0
Amelia,STARFRUIT,Amelia,0
Amelia,STARFRUIT,Valentina,-14247.0
Amelia,STARFRUIT,Vinnie,-79.0
Amelia,STARFRUIT,Rhianna,176.0
Amelia,STARFRUIT,Vladimir,-733.0
Amelia,STARFRUIT,Ruby,224.0
Amelia,STARFRUIT,Remy,54.0
Amelia,STARFRUIT,Adam,345.0
Amelia,AMETHYSTS,Vinnie,-1352.0
Amelia,AMETHYSTS,Amelia,0
Amelia,AMETHYSTS,Valentina,-9282.0
Amelia,AMETHYSTS,Remy,78.0
Amelia,AMETHYSTS,Vladimir,-520.0
Amelia,AMETHYSTS,Rhianna,134.0
Amelia,AMETHYSTS,Adam,102.0
Amelia,AMETHYSTS,Ruby,-40.0
Adam,STARFRUIT,Adam,0
Adam,STARFRUIT,Vladimir,-3244.0
Adam,STARFRUIT,Valentina,-2997.0
Adam,STARFRUIT,Vinnie,-1428.0
Adam,STARFRUIT,Remy,587.0
Adam,STARFRUIT,Rhianna,474.0
Adam,STARFRUIT,Ruby,-37.0
Adam,STARFRUIT,Amelia,-207.0
Adam,AMETHYSTS,Adam,0
Adam,AMETHYSTS,Vladimir,-1152.0
Adam,AMETHYSTS,Remy,22.0
Adam,AMETHYSTS,Valentina,-380.0
Adam,AMETHYSTS,Rhianna,114.0
Adam,AMETHYSTS,Ruby,-18.0
Adam,AMETHYSTS,Vinnie,-60.0
Adam,AMETHYSTS,Amelia,34.0
